Movie_Id,Movie_Title,Genres,Genres_id,language,popularity,release_date,runtime,status,vote_average,vote_count
26837,B-Girl,"Crime,Drama,Music",1041,English,0.631571,29/07/2009,84,Released,5.5,7
9281,Witness,"Crime,Drama,Romance,Thriller",1042,English,19.195399,08/02/1985,113,Released,7,375
9303,Bound,"Crime,Drama,Romance,Thriller",1042,English,15.359952,13/09/1996,108,Released,6.9,198
18206,Alone With Her,"Crime,Drama,Romance,Thriller",1042,English,2.175696,28/04/2006,78,Released,6.2,20
16161,Baby Boy,"Crime,Drama,Romance",1043,English,7.854989,27/06/2001,130,Released,7.4,55
8060,Married Life,"Crime,Drama,Romance",1043,English,3.004432,12/09/2007,90,Released,6.1,38
1651,Mississippi Mermaid,"Crime,Drama,Romance",1043,French,3.654018,18/06/1969,123,Released,6.7,32
257,Oliver Twist,"Crime,Drama,Family",1044,English,20.415572,23/09/2005,130,Released,6.7,274
8643,The Exorcism of Emily Rose,"Crime,Drama,Horror,Thriller",1045,English,32.602868,09/09/2005,122,Released,6.3,659
48309,Prison,"Crime,Drama,Horror,Thriller",1045,English,7.605291,04/03/1988,102,Released,6.7,27
34335,Nine Dead,"Crime,Drama,Horror,Thriller",1045,English,9.68793,01/01/2010,98,Released,5.2,84
82682,Gangster Squad,"Crime,Drama,Action,Thriller",1046,English,29.041198,10/01/2013,113,Released,6.2,1778
41283,Faster,"Crime,Drama,Action,Thriller",1046,English,26.324874,23/11/2010,98,Released,6.1,568
106646,The Wolf of Wall Street,"Crime,Drama,Comedy",1047,English,95.007934,25/12/2013,180,Released,7.9,6571
308639,Dope,"Crime,Drama,Comedy",1047,English,29.761163,19/06/2015,103,Released,7.2,691
8883,Flame & Citron,"Crime,Drama,History,War",1048,Danish,7.028946,25/03/2008,130,Released,6.8,68
117,The Untouchables,"Crime,Drama,History,Thriller",1049,English,38.272889,02/06/1987,119,Released,7.6,1384
60309,"The,Conspirator","Crime,Drama,History",1050,English,9.169271,10/09/2010,122,Released,6.2,137
7873,Harsh Times,"Crime,Drama,Thriller,Action",1051,English,12.999023,11/09/2005,120,Released,6.3,197
43434,Carlos,"Crime,Drama,Thriller,History",1052,English,1.138383,19/05/2010,338,Released,6.7,50
75780,Jack Reacher,"Crime,Drama,Thriller",1053,English,56.868399,20/12/2012,130,Released,6.3,2998
242,The Godfather: Part III,"Crime,Drama,Thriller",1053,English,59.194915,24/12/1990,162,Released,7.1,1546
388,Inside Man,"Crime,Drama,Thriller",1053,English,45.220386,23/03/2006,129,Released,7.3,1630
66,Absolute Power,"Crime,Drama,Thriller",1053,English,13.576765,14/02/1997,121,Released,6.4,223
11892,Murder by Numbers,"Crime,Drama,Thriller",1053,English,16.167093,19/04/2002,120,Released,6,268
1248,Hannibal Rising,"Crime,Drama,Thriller",1053,English,6.567065,06/02/2007,121,Released,6,654
4547,Panic Room,"Crime,Drama,Thriller",1053,English,53.043124,29/03/2002,111,Released,6.5,1267
325789,The Infiltrator,"Crime,Drama,Thriller",1053,English,24.672234,13/07/2016,127,Released,6.6,573
82525,Savages,"Crime,Drama,Thriller",1053,English,31.856589,06/07/2012,131,Released,6.2,766
819,Sleepers,"Crime,Drama,Thriller",1053,English,16.245068,18/10/1996,147,Released,7.3,715
1830,Lord of War,"Crime,Drama,Thriller",1053,English,34.828241,16/09/2005,122,Released,7,1335
1645,A Time to Kill,"Crime,Drama,Thriller",1053,English,25.219805,24/07/1996,149,Released,7,509
50348,The Lincoln Lawyer,"Crime,Drama,Thriller",1053,English,26.072228,17/03/2011,119,Released,7,902
23168,The Town,"Crime,Drama,Thriller",1053,English,24.218358,15/09/2010,125,Released,7,1468
9366,Donnie Brasco,"Crime,Drama,Thriller",1053,English,40.370442,27/02/1997,127,Released,7.4,1147
6016,The Good Thief,"Crime,Drama,Thriller",1053,English,2.774811,03/04/2003,108,Released,6,31
31640,Blood and Wine,"Crime,Drama,Thriller",1053,English,1.492056,03/10/1996,101,Released,5.5,34
6977,No Country for Old Men,"Crime,Drama,Thriller",1053,English,53.645267,08/11/2007,122,Released,7.7,3003
274,The Silence of the Lambs,"Crime,Drama,Thriller",1053,English,18.174804,01/02/1991,119,Released,8.1,4443
27579,The American,"Crime,Drama,Thriller",1053,English,18.632156,31/08/2010,104,Released,5.8,481
241239,A Most Violent Year,"Crime,Drama,Thriller",1053,English,37.629309,30/12/2014,125,Released,6.5,546
13250,Butterfly on a Wheel,"Crime,Drama,Thriller",1053,English,13.118983,27/07/2007,95,Released,6.3,130
26390,Brooklyn's Finest,"Crime,Drama,Thriller",1053,English,18.790102,16/01/2009,133,Released,6.2,293
185567,Zulu,"Crime,Drama,Thriller",1053,English,14.529496,04/12/2013,110,Released,6.7,172
77016,End of Watch,"Crime,Drama,Thriller",1053,English,49.517264,20/09/2012,109,Released,7.2,1170
11478,The Skulls,"Crime,Drama,Thriller",1053,English,11.375032,31/03/2000,106,Released,5.8,156
37414,The Killer Inside Me,"Crime,Drama,Thriller",1053,English,11.892615,19/02/2010,109,Released,6,173
327,Brother,"Crime,Drama,Thriller",1053,Japanese,5.327714,09/09/2000,114,Released,6.8,107
3472,Dirty Pretty Things,"Crime,Drama,Thriller",1053,English,9.177896,05/09/2002,97,Released,6.8,131
73567,Killer Joe,"Crime,Drama,Thriller",1053,English,16.436178,10/09/2011,102,Released,6.5,425
15394,Owning Mahowny,"Crime,Drama,Thriller",1053,English,8.045488,02/05/2003,104,Released,6.8,37
14181,Boiler Room,"Crime,Drama,Thriller",1053,English,11.233081,18/02/2000,118,Released,6.5,201
242582,Nightcrawler,"Crime,Drama,Thriller",1053,English,89.095538,23/10/2014,117,Released,7.6,3395
9282,11:14,"Crime,Drama,Thriller",1053,English,15.048067,16/05/2003,86,Released,6.8,206
97614,Deadfall,"Crime,Drama,Thriller",1053,English,10.19041,08/11/2012,95,Released,5.6,224
8744,Albino Alligator,"Crime,Drama,Thriller",1053,English,2.388683,09/09/1996,97,Released,5.6,45
11826,Sexy Beast,"Crime,Drama,Thriller",1053,English,11.21273,13/09/2000,89,Released,7,217
44945,Trust,"Crime,Drama,Thriller",1053,English,21.230737,10/09/2010,104,Released,6.6,307
331190,Captive,"Crime,Drama,Thriller",1053,English,6.728882,17/09/2015,97,Released,5.6,92
18079,Nine Queens,"Crime,Drama,Thriller",1053,Spanish,8.589355,31/08/2000,114,Released,7.4,153
19997,Niagara,"Crime,Drama,Thriller",1053,English,9.903992,21/01/1953,92,Released,6.7,79
14823,London to Brighton,"Crime,Drama,Thriller",1053,English,3.060685,01/12/2006,85,Released,6.5,34
30246,Civil Brand,"Crime,Drama,Thriller",1053,English,0.665512,29/08/2003,95,Released,5.3,4
10559,Frequency,"Crime,Drama,Science Fiction,Thriller",1054,English,19.258041,28/04/2000,118,Released,7,462
25376,The Secret in Their Eyes,"Crime,Drama,Mystery,Romance",1055,Spanish,25.894065,13/08/2009,129,Released,7.8,626
273248,The Hateful Eight,"Crime,Drama,Mystery,Western",1056,English,68.717016,25/12/2015,167,Released,7.6,4274
1642,The Net,"Crime,Drama,Mystery,Thriller,Action",1057,English,23.218144,28/07/1995,114,Released,5.6,354
29193,The Spanish Prisoner,"Crime,Drama,Mystery,Thriller",1058,English,3.091077,08/09/1997,110,Released,7.1,73
1949,Zodiac,"Crime,Drama,Mystery,Thriller",1058,English,51.970905,02/03/2007,157,Released,7.3,2023
2275,The General's Daughter,"Crime,Drama,Mystery,Thriller",1058,English,18.345613,18/06/1999,116,Released,6.1,205
12201,Edge of Darkness,"Crime,Drama,Mystery,Thriller",1058,English,24.657931,29/01/2010,117,Released,6.2,487
9573,Blood Work,"Crime,Drama,Mystery,Thriller",1058,English,10.089065,04/08/2002,110,Released,6.1,206
